# CAVEAT (findings 014/015): UNPINNED multi-NUMA driver. Throughput ABOVE conc256 is rig-depressed by cross-NUMA client latency; Themis peak-at-1024-then-decline and the ratio collapse are RIG ARTIFACTS, not engine behaviour. NOT valid above conc256. Pinned recovers +12-34% (numapin-1024-2048-15s-20260727.csv). See README.md.
engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,request_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow,err_p50_ms,err_p99_ms,stall_seconds_total,wall_elapsed_s,driver_cpu_pct,driver_busiest_core_pct,driver_limited
aergia,256,small,4000,2580,20.0,1107639,0,55381.9,136.28,4.550,6.707,7.865,9.502,1.059,232.497,4.621,0,0.000,0.000,0.000,20.0,20.8,28.4,no
aergia,512,small,4000,2580,20.0,1259078,0,62953.9,154.91,7.865,12.935,15.017,17.785,1.195,228.636,8.130,0,0.000,0.000,0.000,20.0,23.7,31.5,no
aergia,1024,small,4000,2580,20.0,1422341,1,71117.1,175.00,13.868,23.037,27.012,31.050,1.323,246.884,14.385,0,3717.419,3717.419,3.717,20.0,26.6,35.3,no
aergia,2048,small,4000,2580,20.0,1803018,4,90150.9,221.83,22.138,34.642,41.436,52.093,1.315,258.786,22.686,0,2068.653,2068.653,6.228,20.0,34.6,44.8,no
aergia,4096,small,4000,2580,20.0,1868538,1428,93426.9,229.90,41.851,76.791,93.700,123.805,1.515,300.339,43.698,0,24.454,45.318,34.881,20.0,38.1,51.1,no
themis,256,small,4000,2580,20.0,1548600,13,77430.0,190.53,3.276,4.830,5.835,8.688,1.177,226.891,3.299,0,2626.641,3224.512,34.705,22.2,22.6,32.4,no
themis,512,small,4000,2580,20.0,2333253,15,116662.6,287.07,4.202,6.910,9.131,14.288,1.163,230.280,4.363,0,3368.488,3871.990,53.407,20.0,46.1,62.0,no
themis,1024,small,4000,2580,20.0,2572626,43,128631.3,316.52,7.191,16.101,21.701,29.838,1.256,233.512,7.894,0,3611.475,4053.320,148.569,20.0,52.3,68.4,no
themis,2048,small,4000,2580,20.0,2399799,5,119989.9,295.26,18.507,42.269,64.841,88.269,1.220,272.912,17.040,0,2574.886,2574.886,12.837,20.0,50.2,65.6,no
themis,4096,small,4000,2580,20.0,2166472,4,108323.6,266.55,41.851,106.639,157.199,203.614,1.172,460.390,37.713,0,3910.710,3910.710,13.863,20.0,47.0,63.4,no
