pinned_node,conc,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,request_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow,err_p50_ms,err_p99_ms,stall_seconds_total,wall_elapsed_s,driver_cpu_pct,driver_busiest_core_pct,driver_limited,established_conns
0,1024,1,themis,1024,small,4000,2580,15.0,2187577,8,145838.5,358.86,5.893,15.017,23.500,35.691,1.237,244.222,7.009,0,3072.307,3072.307,23.665,15.2,35.5,81.9,no,1441
0,1024,1,aergia,1024,small,4000,2580,15.0,1062689,0,70845.9,174.33,14.007,23.037,26.745,30.137,1.606,244.125,14.456,0,0.000,0.000,0.000,15.0,17.6,41.0,no,1178
0,1024,2,aergia,1024,small,4000,2580,15.0,1056395,0,70426.3,173.29,14.007,23.267,27.012,30.438,1.232,234.304,14.537,0,0.000,0.000,0.000,15.0,16.8,39.6,no,1374
0,1024,2,themis,1024,small,4000,2580,15.0,2187413,0,145827.5,358.83,5.835,15.168,23.500,36.048,1.224,238.949,7.021,0,0.000,0.000,0.000,15.0,34.6,80.4,no,1490
0,1024,3,themis,1024,small,4000,2580,15.0,2230806,2,148720.4,365.95,5.720,15.017,22.808,34.299,1.219,251.395,6.884,0,7.049,9.222,0.016,15.0,33.9,78.6,no,1491
0,1024,3,aergia,1024,small,4000,2580,15.0,1057802,1,70520.1,173.53,14.007,23.267,27.012,30.137,1.095,245.598,14.516,0,2788.232,2788.232,2.799,15.0,18.0,41.8,no,1376
0,2048,1,themis,2048,small,4000,2580,15.0,2370408,19,158027.2,388.86,8.688,36.409,52.093,72.341,1.234,258.861,12.938,0,3575.718,4139.964,58.686,16.8,35.0,77.3,no,2897
0,2048,1,aergia,2048,small,4000,2580,15.0,1320052,55,88003.5,216.55,22.808,35.691,42.692,51.577,1.866,257.875,23.270,0,13.064,2146.730,4.978,15.4,22.0,50.0,no,2772
0,2048,2,aergia,2048,small,4000,2580,15.0,1316078,46,87738.5,215.90,22.583,36.048,42.692,52.093,1.789,262.163,23.296,0,2195.917,3758.116,68.635,16.3,21.8,49.7,no,2749
0,2048,2,themis,2048,small,4000,2580,15.0,2415158,18,161010.5,396.20,9.131,34.642,51.577,68.830,1.238,287.900,12.692,0,3575.718,3575.718,60.496,15.1,40.3,88.0,no,2629
0,2048,3,themis,2048,small,4000,2580,15.0,2404384,11,160292.3,394.42,9.131,34.988,51.577,72.341,1.260,268.019,12.767,0,2760.626,3269.421,31.029,16.8,37.5,81.6,no,2628
0,2048,3,aergia,2048,small,4000,2580,15.0,1324985,51,88332.3,217.36,22.583,35.691,42.692,52.093,2.182,257.649,23.185,0,13.460,3943.367,4.622,15.2,22.7,50.8,no,2563
