rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,request_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow,err_p50_ms,err_p99_ms,stall_seconds_total,wall_elapsed_s,driver_cpu_pct,driver_busiest_core_pct,driver_limited
2000,1,themis,256,small,4000,2624,15.0,1158126,0,77208.4,193.26,3.309,4.782,5.720,8.432,1.151,219.730,3.314,0,0.000,0.000,0.000,15.0,25.3,36.7,no
2000,1,aergia,256,small,4000,2624,15.0,876067,0,58404.5,146.20,4.244,6.446,7.558,11.031,1.097,227.997,4.382,0,0.000,0.000,0.000,15.0,22.2,30.0,no
2000,2,aergia,256,small,4000,2624,15.0,876141,0,58409.4,146.21,4.244,6.446,7.558,9.693,1.098,216.927,4.382,0,0.000,0.000,0.000,15.0,22.1,30.1,no
2000,2,themis,256,small,4000,2624,15.0,1144216,2,76281.1,190.94,3.309,4.878,5.952,9.314,1.197,226.779,3.348,0,3871.990,3892.144,7.783,15.0,24.9,36.6,no
2000,3,themis,256,small,4000,2624,15.0,1138217,19,75881.1,189.94,3.309,4.830,5.835,9.131,1.151,225.966,3.321,0,3049.448,3110.742,58.337,15.0,24.8,38.9,no
2000,3,aergia,256,small,4000,2624,15.0,874927,1,58328.5,146.01,4.244,6.510,7.558,9.408,1.139,234.145,4.383,0,3575.569,3575.569,3.576,15.0,22.4,30.0,no
2000,4,aergia,256,small,4000,2624,15.0,879447,0,58629.8,146.76,4.244,6.446,7.483,9.502,1.029,228.903,4.364,0,0.000,0.000,0.000,15.0,22.1,29.3,no
2000,4,themis,256,small,4000,2624,15.0,1147360,0,76490.7,191.47,3.309,4.878,5.893,8.775,1.184,220.822,3.345,0,0.000,0.000,0.000,15.0,24.8,36.9,no
2000,5,themis,256,small,4000,2624,15.0,1142732,0,76182.1,190.69,3.342,4.878,5.893,9.314,1.123,222.521,3.358,0,0.000,0.000,0.000,15.0,24.5,36.7,no
2000,5,aergia,256,small,4000,2624,15.0,881826,0,58788.4,147.15,4.202,6.446,7.558,10.814,1.039,222.762,4.353,0,0.000,0.000,0.000,15.0,22.4,30.2,no
4000,1,themis,256,small,4000,2611,15.0,1158973,1,77264.9,192.47,3.309,4.782,5.663,8.517,1.086,233.288,3.311,0,3105.894,3105.894,3.106,17.1,21.3,31.8,no
4000,1,aergia,256,small,4000,2611,15.0,861575,2,57438.3,143.08,4.329,6.575,7.710,9.408,1.118,240.599,4.450,0,3989.316,3989.316,7.983,16.5,20.3,27.6,no
4000,2,aergia,256,small,4000,2611,15.0,864136,0,57609.1,143.50,4.329,6.575,7.634,10.392,1.118,228.924,4.442,0,0.000,0.000,0.000,15.0,21.4,28.8,no
4000,2,themis,256,small,4000,2611,15.0,1154188,0,76945.9,191.67,3.309,4.830,5.835,8.775,1.074,229.851,3.326,0,0.000,0.000,0.000,15.0,24.9,35.8,no
4000,3,themis,256,small,4000,2611,15.0,1160534,0,77368.9,192.72,3.309,4.782,5.720,8.432,1.101,230.407,3.307,0,0.000,0.000,0.000,15.0,24.7,38.8,no
4000,3,aergia,256,small,4000,2611,15.0,863666,0,57577.7,143.42,4.329,6.575,7.634,9.888,0.962,216.633,4.444,0,0.000,0.000,0.000,15.0,21.4,29.2,no
4000,4,aergia,256,small,4000,2611,15.0,866631,0,57775.4,143.92,4.286,6.575,7.634,9.693,1.068,221.896,4.429,0,0.000,0.000,0.000,15.0,21.7,29.9,no
4000,4,themis,256,small,4000,2611,15.0,1155367,0,77024.5,191.86,3.309,4.830,5.835,8.862,1.114,233.039,3.322,0,0.000,0.000,0.000,15.0,25.2,37.5,no
