engine,concurrency,rps,p99_ms,mib_s,mean_ms,errors,verified,wrong
themis,16,4906.2,4.927,12.44,3.261,0,73593,0
themis,32,10709.1,4.550,27.16,2.988,0,160637,0
themis,64,22038.7,4.372,55.90,2.903,0,330581,0
themis,128,42183.1,4.878,107.00,3.034,0,632747,0
themis,256,73952.7,6.510,187.58,3.453,3,1109291,0
aergia,16,9117.7,2.555,23.12,1.754,0,136766,0
aergia,32,22403.7,2.359,56.83,1.428,0,336056,0
aergia,64,36817.5,2.907,93.39,1.737,0,552262,0
aergia,128,47430.3,4.595,120.31,2.698,0,711455,0
aergia,256,55085.5,8.103,139.73,4.643,1,826283,0
