engine,concurrency,rps,p99_ms,mib_s,mean_ms,errors,verified,wrong
themis,16,4915.5,4.878,12.47,3.254,0,73732,0
themis,32,10579.8,4.595,26.84,3.024,0,158697,0
themis,64,22021.1,4.329,55.86,2.906,0,330317,0
themis,128,42212.4,4.878,107.07,3.032,0,633186,0
themis,256,74348.5,6.510,188.59,3.442,1,1115228,0
themis,512,110494.1,10.496,280.27,4.633,1,1657412,0
themis,1024,127591.5,24.945,323.64,8.004,14,1913873,1
themis,2048,120375.7,84.825,305.34,16.997,10,1805635,1
aergia,16,9110.7,2.555,23.11,1.755,0,136661,0
aergia,32,21494.9,2.406,54.52,1.474,2,322424,0
aergia,64,36806.7,2.879,93.36,1.738,0,552101,0
aergia,128,47197.1,4.550,119.72,2.711,0,707957,0
aergia,256,54795.3,8.184,138.99,4.672,0,821930,0
aergia,512,62310.9,15.168,158.05,8.217,0,934663,0
aergia,1024,69292.7,27.555,175.76,14.767,7,1039390,1
aergia,2048,84257.4,46.692,213.72,24.307,14,1263861,0
