engine,concurrency,rps,p99_ms,mib_s,mean_ms,errors,verified,wrong
themis,16,4998.6,4.830,12.68,3.200,0,74979,0
themis,32,10661.9,4.550,27.04,3.001,0,159929,0
themis,64,22012.7,4.372,55.84,2.907,0,330190,0
themis,128,42087.5,4.878,106.76,3.030,3,631312,0
themis,256,74541.0,6.382,189.07,3.430,1,1118115,0
themis,512,110232.3,10.496,279.61,4.629,9,1653485,0
themis,1024,127890.9,24.698,324.40,7.977,20,1918364,0
themis,2048,119847.1,84.825,304.00,17.010,15,1797707,1
aergia,16,9547.9,2.504,24.22,1.675,0,143218,0
aergia,32,22122.3,2.359,56.11,1.446,0,331835,0
aergia,64,36839.2,2.907,93.44,1.737,0,552588,0
aergia,128,47236.5,4.595,119.82,2.709,0,708548,0
aergia,256,55042.2,8.184,139.62,4.650,0,825633,0
aergia,512,61745.3,15.319,156.62,8.293,0,926179,0
aergia,1024,69873.3,27.282,177.24,14.634,1,1048099,0
aergia,2048,84016.8,48.588,213.11,24.350,58,1260252,0
