rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,throughput_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow
2000,1,themis,256,small,4000,2624,15.0,1125598,18,75039.9,187.83,3.342,4.927,5.835,7.483,1.130,221.629,3.352,0
2000,2,themis,256,small,4000,2624,15.0,962545,199,64169.7,160.62,3.212,4.688,5.497,6.980,1.092,158.770,3.215,0
2000,3,themis,256,small,4000,2624,15.0,713455,377,47563.7,119.05,3.244,4.782,5.607,7.049,1.094,216.774,3.245,0
2000,4,themis,256,small,4000,2624,15.0,835832,366,55722.1,139.47,3.244,4.735,5.552,7.120,1.103,214.828,3.254,0
2000,5,themis,256,small,4000,2624,15.0,875758,388,58383.9,146.13,3.276,4.830,5.663,7.049,1.105,98.404,3.271,0
2000,1,aergia,256,small,4000,2624,15.0,912587,2,60839.1,152.29,4.119,6.133,7.191,8.432,1.083,216.364,4.201,0
2000,2,aergia,256,small,4000,2624,15.0,868431,3,57895.4,144.92,4.416,6.256,7.336,8.432,0.997,16.751,4.411,0
2000,3,aergia,256,small,4000,2624,15.0,912335,25,60822.3,152.25,4.038,6.012,7.120,8.349,1.082,23.304,4.135,0
2000,4,aergia,256,small,4000,2624,15.0,915776,29,61051.7,152.82,3.998,5.952,7.049,8.184,1.038,232.137,4.098,0
2000,5,aergia,256,small,4000,2624,15.0,906672,19,60444.8,151.30,4.078,6.072,7.191,8.349,1.055,219.505,4.171,0
4000,1,themis,256,small,4000,2611,15.0,1123664,31,74910.9,186.60,3.309,4.878,5.720,7.336,1.075,217.626,3.314,0
4000,2,themis,256,small,4000,2611,15.0,1074815,84,71654.3,178.49,3.276,4.782,5.607,7.049,1.086,14.513,3.283,0
4000,3,themis,256,small,4000,2611,15.0,1107652,53,73843.5,183.94,3.309,4.878,5.720,7.263,1.079,219.728,3.317,0
4000,4,themis,256,small,4000,2611,15.0,1052840,98,70189.3,174.84,3.309,4.878,5.893,7.710,1.057,218.565,3.317,0
4000,5,themis,256,small,4000,2611,15.0,877476,253,58498.4,145.71,3.276,4.782,5.607,7.049,1.048,18.723,3.268,0
4000,1,aergia,256,small,4000,2611,15.0,886230,0,59082.0,147.17,4.244,6.382,7.483,8.602,1.170,223.650,4.333,0
4000,2,aergia,256,small,4000,2611,15.0,904969,3,60331.3,150.28,4.119,6.256,7.409,8.517,0.997,13.911,4.233,0
4000,3,aergia,256,small,4000,2611,15.0,895628,4,59708.5,148.73,4.160,6.318,7.483,8.688,1.125,224.803,4.279,0
4000,4,aergia,256,small,4000,2611,15.0,883505,4,58900.3,146.72,4.244,6.382,7.558,8.688,0.944,219.260,4.330,0
4000,5,aergia,256,small,4000,2611,15.0,856501,17,57100.1,142.23,4.416,6.382,7.483,8.602,1.039,217.141,4.412,0
8000,1,themis,256,small,4000,2580,15.0,1149387,0,76625.8,188.55,3.309,4.927,5.835,7.634,1.124,222.265,3.340,0
8000,2,themis,256,small,4000,2580,15.0,1159233,0,77282.2,190.17,3.276,4.878,5.720,7.263,1.156,211.074,3.312,0
8000,3,themis,256,small,4000,2580,15.0,1152146,7,76809.7,189.00,3.276,4.878,5.777,7.483,1.132,217.166,3.315,0
8000,4,themis,256,small,4000,2580,15.0,1081782,81,72118.8,177.46,3.276,4.830,5.720,7.263,1.103,214.479,3.290,0
8000,5,themis,256,small,4000,2580,15.0,1135628,35,75708.5,186.29,3.276,4.830,5.720,7.263,1.103,214.448,3.291,0
8000,1,aergia,256,small,4000,2580,15.0,853266,0,56884.4,139.97,4.460,6.707,7.865,9.041,0.940,223.053,4.500,0
8000,2,aergia,256,small,4000,2580,15.0,853628,0,56908.5,140.03,4.460,6.707,7.865,9.041,1.054,233.129,4.498,0
8000,3,aergia,256,small,4000,2580,15.0,862511,1,57500.7,141.49,4.416,6.575,7.710,8.862,1.062,215.608,4.448,0
8000,4,aergia,256,small,4000,2580,15.0,866395,18,57759.7,142.13,4.286,6.510,7.710,8.862,1.074,15.194,4.385,0
8000,5,aergia,256,small,4000,2580,15.0,851293,15,56752.9,139.65,4.416,6.641,7.865,8.951,0.975,232.758,4.473,0
