rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,throughput_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow
2000,1,themis,256,small,4000,2624,15.0,1113552,48,74236.8,185.82,3.309,4.830,5.663,7.263,1.173,224.508,3.307,0
2000,2,themis,256,small,4000,2624,15.0,1086251,75,72416.7,181.27,3.276,4.830,5.663,7.191,1.154,219.881,3.302,0
2000,3,themis,256,small,4000,2624,15.0,971919,261,64794.6,162.18,3.276,4.830,5.663,7.120,1.115,228.850,3.294,0
2000,1,aergia,256,small,4000,2624,15.0,867648,0,57843.2,144.79,4.416,6.318,7.483,8.688,1.014,219.347,4.425,0
2000,2,aergia,256,small,4000,2624,15.0,899275,3,59951.7,150.07,4.160,6.133,7.191,8.432,1.004,225.260,4.257,0
2000,3,aergia,256,small,4000,2624,15.0,883683,17,58912.2,147.47,4.244,6.194,7.263,8.517,1.005,231.245,4.296,0
4000,1,themis,256,small,4000,2611,15.0,1145739,2,76382.6,190.27,3.342,4.927,5.835,7.409,1.115,223.053,3.345,0
4000,2,themis,256,small,4000,2611,15.0,1093801,79,72920.1,181.64,3.309,4.878,5.777,7.558,1.110,222.504,3.325,0
4000,3,themis,256,small,4000,2611,15.0,975943,255,65062.9,162.06,3.276,4.830,5.663,7.263,1.094,225.180,3.275,0
4000,1,aergia,256,small,4000,2611,15.0,856232,0,57082.1,142.19,4.505,6.446,7.710,8.862,1.018,229.752,4.484,0
4000,2,aergia,256,small,4000,2611,15.0,849790,46,56652.7,141.12,4.329,6.382,7.634,8.775,1.100,224.696,4.360,0
4000,3,aergia,256,small,4000,2611,15.0,855691,28,57046.1,142.10,4.372,6.382,7.558,8.775,0.977,237.127,4.391,0
8000,1,themis,256,small,4000,2580,15.0,1155807,0,77053.8,189.61,3.309,4.878,5.777,7.558,1.163,232.215,3.322,0
8000,2,themis,256,small,4000,2580,15.0,1148094,4,76539.6,188.34,3.309,4.927,5.835,7.634,1.159,232.395,3.329,0
8000,3,themis,256,small,4000,2580,15.0,1062526,139,70835.1,174.30,3.244,4.830,5.777,7.409,1.136,228.102,3.280,0
8000,1,aergia,256,small,4000,2580,15.0,837080,0,55805.3,137.32,4.550,6.774,7.944,9.041,1.047,233.689,4.587,0
8000,2,aergia,256,small,4000,2580,15.0,817594,17,54506.3,134.12,4.641,6.707,7.865,9.041,1.033,226.238,4.628,0
8000,3,aergia,256,small,4000,2580,15.0,834303,58,55620.2,136.86,4.460,6.575,7.787,8.951,1.082,234.638,4.451,0
