# SUPERSEDED (findings 015): single-edge Jul24, contains the Aergia@8k cliff. OLD rig; superseded by the 10-edge trend. Kept for history. See README.md.
rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,throughput_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow
1000,1,themis,256,small,4000,2604,15.0,426139,0,28409.3,70.57,8.862,14.147,16.589,20.041,1.458,233.339,9.013,0
1000,2,themis,256,small,4000,2604,15.0,422620,0,28174.7,69.99,8.951,14.147,16.589,20.041,1.448,230.089,9.088,0
1000,3,themis,256,small,4000,2604,15.0,423017,0,28201.1,70.05,8.951,14.147,16.589,20.241,1.447,229.520,9.078,0
1000,1,aergia,256,small,4000,2604,15.0,394448,2,26296.5,65.32,9.502,15.941,18.879,23.267,1.176,229.333,9.725,0
1000,2,aergia,256,small,4000,2604,15.0,392822,0,26188.1,65.06,9.597,16.101,19.068,24.698,1.258,231.146,9.777,0
1000,3,aergia,256,small,4000,2604,15.0,392531,0,26168.7,65.01,9.597,16.101,18.879,24.212,1.190,233.634,9.783,0
2000,1,themis,256,small,4000,2624,15.0,410308,0,27353.9,68.47,9.222,14.721,17.262,21.918,1.465,224.476,9.360,0
2000,2,themis,256,small,4000,2624,15.0,408036,0,27202.4,68.09,9.314,14.869,17.435,21.274,1.523,226.098,9.411,0
2000,3,themis,256,small,4000,2624,15.0,410453,0,27363.5,68.49,9.222,14.721,17.435,21.274,1.253,32.471,9.356,0
2000,1,aergia,256,small,4000,2624,15.0,392631,1,26175.4,65.52,9.502,16.262,19.068,23.735,1.170,36.040,9.771,0
2000,2,aergia,256,small,4000,2624,15.0,390363,0,26024.2,65.14,9.597,16.101,19.068,23.972,1.273,34.940,9.838,0
2000,3,aergia,256,small,4000,2624,15.0,390960,0,26064.0,65.24,9.597,16.262,19.068,23.500,1.000,230.800,9.822,0
4000,1,themis,256,small,4000,2611,15.0,418277,0,27885.1,69.46,9.041,14.431,16.922,20.444,1.556,228.156,9.184,0
4000,2,themis,256,small,4000,2611,15.0,417862,0,27857.5,69.39,9.041,14.431,16.922,21.274,1.587,223.296,9.190,0
4000,3,themis,256,small,4000,2611,15.0,418128,0,27875.2,69.44,9.041,14.431,16.922,21.063,1.524,232.881,9.184,0
4000,1,aergia,256,small,4000,2611,15.0,394787,0,26319.1,65.56,9.502,15.941,18.692,23.267,1.112,228.490,9.728,0
4000,2,aergia,256,small,4000,2611,15.0,393317,0,26221.1,65.32,9.597,16.101,18.879,22.808,1.317,231.562,9.765,0
4000,3,aergia,256,small,4000,2611,15.0,391056,0,26070.4,64.94,9.597,16.262,19.068,23.972,1.160,247.455,9.822,0
6000,1,themis,256,small,4000,2614,15.0,412237,0,27482.5,68.53,9.222,14.721,17.262,20.855,1.464,225.206,9.317,0
6000,2,themis,256,small,4000,2614,15.0,421472,0,28098.1,70.06,9.041,14.288,16.754,20.648,1.550,232.280,9.111,0
6000,3,themis,256,small,4000,2614,15.0,424378,0,28291.9,70.55,8.951,14.147,16.589,20.241,1.306,228.280,9.050,0
6000,1,aergia,256,small,4000,2614,15.0,394851,0,26323.4,65.64,9.502,15.941,18.692,22.808,1.165,224.507,9.725,0
6000,2,aergia,256,small,4000,2614,15.0,391791,0,26119.4,65.13,9.597,16.101,19.068,23.735,1.244,228.719,9.802,0
6000,3,aergia,256,small,4000,2614,15.0,392352,0,26156.8,65.22,9.502,16.101,19.068,23.972,1.199,232.540,9.789,0
8000,1,themis,256,small,4000,2580,15.0,431737,0,28782.5,70.82,8.775,13.868,16.262,20.041,1.557,228.083,8.895,0
8000,2,themis,256,small,4000,2580,15.0,431472,6,28764.8,70.78,8.688,14.007,16.424,20.041,1.461,221.046,8.859,0
8000,3,themis,256,small,4000,2580,15.0,432741,0,28849.4,70.99,8.775,13.868,16.262,19.451,1.485,230.636,8.874,0
8000,1,aergia,256,small,4000,2580,15.0,126028,5,8401.9,20.68,29.543,64.199,79.909,97.504,0.975,136.145,30.452,0
8000,2,aergia,256,small,4000,2580,15.0,125728,54,8381.9,20.63,28.390,62.934,79.118,96.539,0.933,126.870,29.601,0
8000,3,aergia,256,small,4000,2580,15.0,127677,24,8511.8,20.94,28.674,62.310,77.559,94.637,0.977,128.261,29.587,0
