# SUPERSEDED (findings 015): single-edge Jul25 — the flatness is the EDGE ceiling, NOT engine parity. OLD rig. See README.md.
rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,throughput_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow
1000,1,themis,256,small,4000,2604,15.0,430302,0,28686.8,71.26,8.862,13.868,16.262,19.259,1.562,29.288,8.925,0
1000,2,themis,256,small,4000,2604,15.0,428989,0,28599.3,71.04,8.862,14.007,16.262,19.842,1.334,32.814,8.952,0
1000,3,themis,256,small,4000,2604,15.0,429649,0,28643.3,71.15,8.862,13.868,16.262,19.451,1.332,227.555,8.939,0
1000,1,aergia,256,small,4000,2604,15.0,395410,0,26360.7,65.48,9.502,15.941,18.692,23.267,1.179,235.822,9.711,0
1000,2,aergia,256,small,4000,2604,15.0,395827,0,26388.5,65.55,9.502,15.941,18.692,23.267,1.158,228.781,9.702,0
1000,3,aergia,256,small,4000,2604,15.0,394330,0,26288.7,65.30,9.597,15.941,18.879,23.735,1.245,219.917,9.738,0
2000,1,themis,256,small,4000,2624,15.0,426777,1,28451.8,71.22,8.862,14.007,16.262,19.646,1.593,225.862,8.993,0
2000,2,themis,256,small,4000,2624,15.0,427639,0,28509.3,71.36,8.862,14.007,16.424,19.842,1.459,227.578,8.980,0
2000,3,themis,256,small,4000,2624,15.0,427501,0,28500.1,71.34,8.862,14.007,16.424,20.041,1.400,225.486,8.982,0
2000,1,aergia,256,small,4000,2624,15.0,395185,0,26345.7,65.95,9.502,15.941,18.692,23.267,1.124,34.025,9.719,0
2000,2,aergia,256,small,4000,2624,15.0,393862,0,26257.5,65.72,9.502,16.101,19.068,23.735,1.146,224.998,9.750,0
2000,3,aergia,256,small,4000,2624,15.0,391558,0,26103.9,65.34,9.597,16.101,19.068,23.500,1.162,33.609,9.807,0
4000,1,themis,256,small,4000,2611,15.0,429240,0,28616.0,71.28,8.862,14.007,16.262,19.259,1.398,28.404,8.947,0
4000,2,themis,256,small,4000,2611,15.0,428251,0,28550.1,71.12,8.862,14.007,16.424,19.842,1.282,228.513,8.969,0
4000,3,themis,256,small,4000,2611,15.0,428705,0,28580.3,71.19,8.862,14.007,16.424,20.241,1.402,233.923,8.958,0
4000,1,aergia,256,small,4000,2611,15.0,393994,1,26266.3,65.43,9.502,16.101,19.068,23.972,1.148,33.148,9.739,0
4000,2,aergia,256,small,4000,2611,15.0,393737,0,26249.1,65.39,9.502,16.101,18.879,25.958,1.134,47.777,9.754,0
4000,3,aergia,256,small,4000,2611,15.0,393179,0,26211.9,65.29,9.597,16.101,19.259,24.698,1.127,233.925,9.768,0
6000,1,themis,256,small,4000,2614,15.0,428458,0,28563.9,71.22,8.862,14.007,16.424,19.451,1.278,219.863,8.963,0
6000,2,themis,256,small,4000,2614,15.0,428016,0,28534.4,71.15,8.862,14.007,16.424,20.041,1.482,223.857,8.972,0
6000,3,themis,256,small,4000,2614,15.0,427623,0,28508.2,71.09,8.862,14.147,16.589,20.241,1.498,222.622,8.981,0
6000,1,aergia,256,small,4000,2614,15.0,394122,0,26274.8,65.52,9.502,16.101,18.879,23.037,1.151,32.358,9.744,0
6000,2,aergia,256,small,4000,2614,15.0,393453,0,26230.2,65.41,9.502,16.101,19.068,24.212,1.196,37.990,9.762,0
6000,3,aergia,256,small,4000,2614,15.0,394032,0,26268.8,65.50,9.502,15.941,18.879,23.500,1.063,34.141,9.748,0
8000,1,themis,256,small,4000,2580,15.0,428638,0,28575.9,70.31,8.862,14.147,16.589,20.855,1.367,32.530,8.960,0
8000,2,themis,256,small,4000,2580,15.0,430973,0,28731.5,70.70,8.775,14.007,16.424,20.041,1.480,230.252,8.911,0
8000,3,themis,256,small,4000,2580,15.0,429781,0,28652.1,70.51,8.862,13.868,16.262,19.646,1.487,231.571,8.936,0
8000,1,aergia,256,small,4000,2580,15.0,396624,0,26441.6,65.06,9.502,15.941,18.692,23.267,1.287,35.773,9.683,0
8000,2,aergia,256,small,4000,2580,15.0,395760,0,26384.0,64.92,9.408,15.941,18.879,23.267,1.140,35.691,9.703,0
8000,3,aergia,256,small,4000,2580,15.0,395279,0,26351.9,64.84,9.502,15.941,18.879,24.212,1.197,36.343,9.716,0
