rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,request_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow,err_p50_ms,err_p99_ms,stall_seconds_total,wall_elapsed_s
2000,1,themis,256,small,4000,2624,15.0,1130906,0,75393.7,188.72,3.375,4.976,5.893,7.710,1.094,233.657,3.395,0,0.000,0.000,0.000,15.0
2000,1,aergia,256,small,4000,2624,15.0,898517,0,59901.1,149.94,4.202,6.194,7.263,8.517,1.048,218.151,4.273,0,0.000,0.000,0.000,15.0
2000,2,aergia,256,small,4000,2624,15.0,900715,4,60047.7,150.31,4.202,6.194,7.263,8.432,1.048,218.942,4.249,0,2788.232,3989.316,12.601,15.0
2000,2,themis,256,small,4000,2624,15.0,1131851,0,75456.7,188.88,3.375,4.976,5.893,7.558,1.083,230.178,3.392,0,0.000,0.000,0.000,15.0
2000,3,themis,256,small,4000,2624,15.0,1123999,0,74933.3,187.57,3.375,5.076,6.072,8.023,1.134,231.489,3.416,0,0.000,0.000,0.000,15.0
2000,3,aergia,256,small,4000,2624,15.0,867505,1,57833.7,144.77,4.416,6.318,7.409,8.517,1.103,232.531,4.423,0,2760.626,2760.626,2.771,15.0
2000,4,aergia,256,small,4000,2624,15.0,912292,3,60819.5,152.24,4.119,6.072,7.191,8.432,1.127,215.248,4.202,0,2152.649,2152.649,6.446,15.0
2000,4,themis,256,small,4000,2624,15.0,1133904,6,75593.6,189.22,3.375,4.927,5.777,7.191,1.114,229.048,3.373,0,2354.320,2354.320,14.108,15.0
2000,5,themis,256,small,4000,2624,15.0,1131334,2,75422.3,188.79,3.375,4.976,5.835,7.336,1.080,224.053,3.387,0,3611.475,3632.229,7.261,15.0
2000,5,aergia,256,small,4000,2624,15.0,902030,4,60135.3,150.53,4.160,6.133,7.191,8.349,1.005,233.408,4.246,0,2240.055,2257.680,8.983,15.0
4000,1,themis,256,small,4000,2611,15.0,1129489,10,75299.3,187.57,3.375,4.976,5.835,7.409,1.071,219.517,3.377,0,2110.233,3989.316,24.878,15.0
4000,1,aergia,256,small,4000,2611,15.0,866800,2,57786.7,143.95,4.372,6.510,7.634,8.688,1.079,218.820,4.424,0,2474.414,2474.414,4.951,15.0
4000,2,aergia,256,small,4000,2611,15.0,883558,2,58903.9,146.73,4.244,6.446,7.558,8.775,1.039,219.475,4.339,0,3106.212,3106.212,6.211,15.1
4000,2,themis,256,small,4000,2611,15.0,1135433,0,75695.5,188.55,3.375,4.976,5.893,7.634,1.073,233.370,3.381,0,0.000,0.000,0.000,15.0
4000,3,themis,256,small,4000,2611,15.0,1125956,3,75063.7,186.98,3.375,5.026,6.012,7.944,1.081,226.330,3.401,0,3269.421,3335.137,9.881,15.0
4000,3,aergia,256,small,4000,2611,15.0,892274,0,59484.9,148.18,4.202,6.382,7.483,8.688,1.062,228.323,4.303,0,0.000,0.000,0.000,15.0
4000,4,aergia,256,small,4000,2611,15.0,853729,0,56915.3,141.77,4.505,6.510,7.634,8.775,1.089,222.792,4.497,0,0.000,0.000,0.000,15.0
4000,4,themis,256,small,4000,2611,15.0,1135817,0,75721.1,188.62,3.375,4.976,5.893,7.483,1.091,230.834,3.380,0,0.000,0.000,0.000,15.0
4000,5,themis,256,small,4000,2611,15.0,1133494,0,75566.3,188.23,3.375,5.026,5.952,7.944,1.032,222.361,3.387,0,0.000,0.000,0.000,15.0
4000,5,aergia,256,small,4000,2611,15.0,888675,1,59245.0,147.58,4.202,6.382,7.558,8.688,1.066,220.178,4.316,0,3575.718,3575.718,3.591,15.0
