rule_count,rep,engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,request_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow,err_p50_ms,err_p99_ms,stall_seconds_total,wall_elapsed_s
2000,1,themis,256,small,4000,2624,15.0,1140739,0,76049.3,190.36,3.342,4.976,5.893,7.634,1.122,223.850,3.366,0,0.000,0.000,0.000,15.0
2000,1,aergia,256,small,4000,2624,15.0,889410,0,59294.0,148.42,4.244,6.256,7.336,8.602,0.999,222.614,4.317,0,0.000,0.000,0.000,15.0
2000,2,aergia,256,small,4000,2624,15.0,880485,3,58699.0,146.93,4.286,6.256,7.409,8.602,1.061,225.900,4.351,0,2760.626,3611.475,9.116,15.0
2000,2,themis,256,small,4000,2624,15.0,1134960,0,75664.0,189.40,3.375,4.976,5.952,7.787,1.110,234.723,3.383,0,0.000,0.000,0.000,15.0
2000,3,themis,256,small,4000,2624,15.0,1126144,3,75076.3,187.93,3.375,5.026,5.952,7.710,1.139,231.759,3.400,0,3833.654,3833.654,11.527,15.5
2000,3,aergia,256,small,4000,2624,15.0,877426,0,58495.1,146.42,4.329,6.318,7.409,8.602,1.097,226.417,4.376,0,0.000,0.000,0.000,15.0
2000,4,aergia,256,small,4000,2624,15.0,893727,0,59581.8,149.14,4.202,6.194,7.336,8.517,0.999,228.664,4.296,0,0.000,0.000,0.000,15.0
2000,4,themis,256,small,4000,2624,15.0,1133362,0,75557.5,189.13,3.375,4.976,5.893,7.483,1.106,223.591,3.388,0,0.000,0.000,0.000,15.0
2000,5,themis,256,small,4000,2624,15.0,1137577,3,75838.5,189.83,3.342,4.927,5.720,7.049,1.103,228.758,3.365,0,3833.654,3833.654,11.546,15.0
2000,5,aergia,256,small,4000,2624,15.0,890846,0,59389.7,148.66,4.244,6.256,7.336,8.432,1.096,212.859,4.310,0,0.000,0.000,0.000,15.0
4000,1,themis,256,small,4000,2611,15.0,1130418,11,75361.2,187.72,3.375,5.026,6.012,7.865,1.103,230.381,3.379,0,2679.436,2693.119,29.040,15.9
4000,1,aergia,256,small,4000,2611,15.0,849711,2,56647.4,141.11,4.505,6.575,7.787,8.862,0.996,234.221,4.511,0,3226.010,3226.010,6.451,15.0
4000,2,aergia,256,small,4000,2611,15.0,861177,0,57411.8,143.01,4.416,6.510,7.710,8.862,1.013,232.101,4.458,0,0.000,0.000,0.000,15.0
4000,2,themis,256,small,4000,2611,15.0,1136187,0,75745.8,188.68,3.375,4.976,5.835,7.483,1.089,225.318,3.379,0,0.000,0.000,0.000,15.0
4000,3,themis,256,small,4000,2611,15.0,1141024,2,76068.3,189.49,3.342,4.927,5.777,7.263,1.079,233.826,3.359,0,3716.676,3716.676,7.433,15.3
4000,3,aergia,256,small,4000,2611,15.0,849213,2,56614.2,141.03,4.505,6.575,7.710,8.862,1.090,213.342,4.513,0,3368.488,3368.488,6.732,15.0
4000,4,aergia,256,small,4000,2611,15.0,858796,1,57253.1,142.62,4.460,6.510,7.710,8.862,1.064,230.146,4.467,0,3422.310,3422.310,3.422,15.0
4000,4,themis,256,small,4000,2611,15.0,1132189,0,75479.3,188.02,3.375,5.026,5.952,7.787,1.054,231.772,3.391,0,0.000,0.000,0.000,15.1
4000,5,themis,256,small,4000,2611,15.0,1138708,2,75913.9,189.10,3.342,4.976,5.835,7.483,1.108,232.023,3.365,0,3944.680,3944.680,7.887,15.0
4000,5,aergia,256,small,4000,2611,15.0,863260,0,57550.7,143.36,4.416,6.510,7.710,8.862,1.040,218.186,4.448,0,0.000,0.000,0.000,15.1
6000,1,themis,256,small,4000,2614,15.0,1135205,11,75680.3,188.72,3.342,4.927,5.835,7.263,1.095,219.164,3.355,0,2844.276,2844.276,31.225,15.0
6000,1,aergia,256,small,4000,2614,15.0,835425,0,55695.0,138.88,4.595,6.707,7.865,9.131,1.034,234.585,4.596,0,0.000,0.000,0.000,15.0
6000,2,aergia,256,small,4000,2614,15.0,849226,2,56615.1,141.17,4.460,6.707,7.865,8.951,1.039,223.971,4.512,0,3795.697,3795.697,7.613,15.0
6000,2,themis,256,small,4000,2614,15.0,1130955,3,75397.0,188.01,3.375,4.976,5.893,7.865,1.110,221.486,3.386,0,3335.137,3335.137,10.053,15.0
6000,3,themis,256,small,4000,2614,15.0,1126749,7,75116.6,187.31,3.375,5.026,6.072,8.103,1.143,227.165,3.389,0,2899.737,2899.737,20.269,15.0
6000,3,aergia,256,small,4000,2614,15.0,838809,0,55920.6,139.45,4.595,6.707,7.865,9.041,1.096,231.315,4.577,0,0.000,0.000,0.000,15.0
6000,4,aergia,256,small,4000,2614,15.0,840967,0,56064.5,139.80,4.595,6.707,7.865,9.041,1.084,228.679,4.566,0,0.000,0.000,0.000,15.1
6000,4,themis,256,small,4000,2614,15.0,1132764,0,75517.6,188.31,3.375,5.026,6.072,8.349,1.090,228.461,3.389,0,0.000,0.000,0.000,15.0
6000,5,themis,256,small,4000,2614,15.0,1138423,0,75894.9,189.25,3.342,5.026,5.952,7.634,1.135,228.787,3.372,0,0.000,0.000,0.000,15.0
6000,5,aergia,256,small,4000,2614,15.0,845710,0,56380.7,140.59,4.550,6.641,7.865,8.951,1.015,230.624,4.540,0,0.000,0.000,0.000,15.0
8000,1,themis,256,small,4000,2580,15.0,1142539,6,76169.3,187.43,3.309,4.927,5.835,7.483,1.147,229.666,3.348,0,2549.392,4029.209,19.788,17.0
8000,1,aergia,256,small,4000,2580,15.0,839088,0,55939.2,137.65,4.550,6.774,7.944,9.222,1.069,235.762,4.576,0,0.000,0.000,0.000,15.0
8000,2,aergia,256,small,4000,2580,15.0,829593,1,55306.2,136.09,4.641,6.774,7.944,9.131,1.048,232.573,4.624,0,3910.710,3910.710,3.922,15.0
8000,2,themis,256,small,4000,2580,15.0,1141405,5,76093.7,187.24,3.309,4.976,5.893,7.710,1.159,216.979,3.346,0,4069.501,4096.518,20.443,15.0
8000,3,themis,256,small,4000,2580,15.0,1140684,11,76045.6,187.12,3.309,4.927,5.777,7.263,1.096,222.734,3.330,0,3704.606,3704.606,40.712,15.0
8000,3,aergia,256,small,4000,2580,15.0,845826,0,56388.4,138.76,4.505,6.774,8.023,9.131,1.073,217.129,4.539,0,0.000,0.000,0.000,15.0
8000,4,aergia,256,small,4000,2580,15.0,831039,0,55402.6,136.33,4.641,6.774,7.944,9.131,0.976,227.727,4.620,0,0.000,0.000,0.000,15.0
8000,4,themis,256,small,4000,2580,15.0,1148213,0,76547.5,188.36,3.309,4.927,5.893,7.710,1.161,224.299,3.344,0,0.000,0.000,0.000,15.0
8000,5,themis,256,small,4000,2580,15.0,1143359,0,76223.9,187.56,3.309,4.976,5.952,7.710,1.165,231.168,3.358,0,0.000,0.000,0.000,15.0
8000,5,aergia,256,small,4000,2580,15.0,842156,3,56143.7,138.15,4.505,6.707,7.944,9.041,1.034,235.138,4.550,0,2574.886,2574.886,7.701,15.1
