engine,concurrency,payload,records_used,avg_body_bytes,duration_s,completed,errors,rps,throughput_mib_s,p50_ms,p95_ms,p99_ms,p999_ms,min_ms,max_ms,mean_ms,tail_overflow
themis,128,small,20000,2600,30.0,797451,29,26581.7,65.92,4.460,7.409,8.688,10.496,1.105,231.158,4.666,0
themis,256,small,20000,2600,30.0,860862,32,28695.4,71.17,8.688,13.731,16.101,19.842,1.386,246.757,8.793,0
themis,512,small,20000,2600,30.0,861999,40,28733.3,71.26,17.435,27.831,34.299,41.026,1.472,246.620,17.685,0
themis,1024,small,20000,2600,30.0,854975,39,28499.2,70.68,35.338,56.973,68.148,83.985,1.825,285.080,35.793,0
themis,2048,small,20000,2600,30.0,802135,83,26737.8,66.31,73.064,134.063,157.199,173.646,2.955,310.565,76.475,0
themis,128,medium,8000,33280,30.0,136341,25,4544.7,144.24,27.555,49.073,54.750,62.310,3.946,75.029,27.761,0
themis,256,medium,8000,33280,30.0,164983,71,5499.4,174.57,43.119,85.673,121.365,132.735,4.425,248.195,45.172,0
themis,512,medium,8000,33280,30.0,182904,40,6096.8,193.51,73.064,171.927,205.650,234.049,4.859,294.632,83.259,0
themis,1024,medium,8000,33280,30.0,180177,49,6005.9,190.62,92.772,488.752,513.683,534.540,4.936,662.213,169.967,0
themis,2048,medium,8000,33280,30.0,178155,31,5938.5,188.51,345.017,685.512,727.685,757.232,5.221,793.322,345.200,0
themis,128,large,4000,296425,30.0,15721,8,524.0,148.26,241.140,404.559,433.742,534.540,49.701,629.051,243.494,0
themis,256,large,4000,296425,30.0,15981,62,532.7,150.45,446.885,861.800,1041.149,1150.076,51.621,1205.951,470.492,0
themis,512,large,4000,296425,30.0,16518,23,550.6,155.68,819.973,1948.765,2110.233,2217.876,59.707,2261.777,931.712,0
themis,1024,large,4000,296425,30.0,16788,17,559.6,158.35,1661.948,2989.362,3173.268,3871.990,140.785,4284.373,1840.935,0
themis,2048,large,4000,296425,30.0,202,18701,6.7,0.60,2600.634,3795.697,4192.811,4389.160,1389.389,4389.160,2649.192,0
aergia,128,small,20000,2600,30.0,750994,12,25033.1,62.09,4.735,8.517,9.986,12.185,1.068,225.852,5.071,0
aergia,256,small,20000,2600,30.0,774796,3,25826.5,64.05,9.693,16.262,19.259,24.212,1.111,230.927,9.899,0
aergia,512,small,20000,2600,30.0,768806,9,25626.9,63.56,19.646,32.311,40.218,50.060,1.068,256.334,19.949,0
aergia,1024,small,20000,2600,30.0,736511,9,24550.4,60.89,40.620,70.213,85.673,100.459,1.114,290.512,41.688,0
aergia,2048,small,20000,2600,30.0,696239,1379,23208.0,57.56,80.708,170.224,211.881,279.957,4.325,401.202,88.301,0
aergia,128,medium,8000,33280,30.0,153369,4,5112.3,162.29,23.500,46.229,56.973,68.148,1.709,228.041,24.970,0
aergia,256,medium,8000,33280,30.0,156613,2,5220.4,165.73,45.318,97.504,120.164,139.506,2.597,163.531,49.023,0
aergia,512,medium,8000,33280,30.0,159753,1,5325.1,169.02,88.269,207.706,241.140,255.976,2.708,268.380,96.214,0
aergia,1024,medium,8000,33280,30.0,160119,0,5337.3,169.40,175.382,416.818,446.885,465.030,2.623,679.569,192.086,0
aergia,2048,medium,8000,33280,30.0,160150,5,5338.3,169.43,420.986,596.370,652.241,713.346,3.989,735.295,384.300,0
aergia,128,large,4000,296425,30.0,13798,0,459.9,130.30,243.552,614.440,727.685,772.452,8.640,806.125,278.811,0
aergia,256,large,4000,296425,30.0,13911,0,463.7,131.42,608.357,933.206,1000.523,1094.258,8.536,1162.845,553.573,0
aergia,512,large,4000,296425,30.0,14373,0,479.1,135.69,990.617,2007.814,2131.335,2449.915,35.237,2651.147,1073.497,0
aergia,1024,large,4000,296425,30.0,14580,1,486.0,137.69,2131.335,2788.232,3647.590,4277.086,30.724,4428.403,2124.850,0
aergia,2048,large,4000,296425,30.0,9320,6183,310.7,87.06,4277.086,6692.831,7617.066,7926.349,59.318,9715.759,4369.208,0
